App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,YamlMacroProcessorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\YamlMacroProcessorTest.java,,,,22,8,0,0,0,0,16,0,0,0,0,0,0,0,,,3,0,0,0,16,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,AceWrapperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\AceWrapperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\helper\AceWrapper.java,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,AcHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\AcHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\helper\AcHelper.java,,,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,ContentHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\ContentHelperTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\helper\ContentHelper.java,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,ValidatorsTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\helper\ValidatorsTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\validators\Validators.java,,,4,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,AceServiceImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\impl\AceServiceImplTest.java,,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,AcInstallationServiceImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\impl\AcInstallationServiceImplTest.java,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,ExtendedSlingSettingsServiceImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\slingsettings\ExtendedSlingSettingsServiceImplTest.java,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,BeanValidatorsTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\validators\BeanValidatorsTest.java,,,,3,0,2,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,2,0
netcentric/accesscontroltool,df4adfd1a9b943bc0e58434bca217395a035bf82,GlobalConfigurationValidatorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\validators\GlobalConfigurationValidatorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\validators\GlobalConfigurationValidator.java,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
